Vdd,Cload,Slew,Temp,Wp,Power
0.7999999999999999,9.909090909090909e-15,5e-11,25,1.8e-07,3.27492e-06
0.7999999999999999,9.909090909090909e-15,5e-11,25,3.6e-07,3.34442e-06
0.7999999999999999,9.909090909090909e-15,5e-11,75,1.8e-07,3.27811e-06
0.7999999999999999,9.909090909090909e-15,5e-11,75,3.6e-07,3.35007e-06
0.7999999999999999,9.909090909090909e-15,5e-11,100,1.8e-07,3.27938e-06
0.7999999999999999,9.909090909090909e-15,5e-11,100,3.6e-07,3.35236e-06
0.7999999999999999,9.909090909090909e-15,5e-11,125,1.8e-07,3.28041e-06
0.7999999999999999,9.909090909090909e-15,5e-11,125,3.6e-07,3.35436e-06
0.7999999999999999,9.909090909090909e-15,1e-10,-40,1.8e-07,3.26441e-06
0.7999999999999999,9.909090909090909e-15,1e-10,-40,3.6e-07,3.32379e-06
0.7999999999999999,9.909090909090909e-15,1e-10,-25,1.8e-07,3.26647e-06
0.7999999999999999,9.909090909090909e-15,1e-10,-25,3.6e-07,3.32727e-06
0.7999999999999999,9.909090909090909e-15,1e-10,0,1.8e-07,3.26919e-06
0.7999999999999999,9.909090909090909e-15,1e-10,0,3.6e-07,3.33275e-06
0.7999999999999999,9.909090909090909e-15,1e-10,25,1.8e-07,3.27164e-06
0.7999999999999999,9.909090909090909e-15,1e-10,25,3.6e-07,3.33753e-06
0.7999999999999999,9.909090909090909e-15,1e-10,75,1.8e-07,3.27557e-06
0.7999999999999999,9.909090909090909e-15,1e-10,75,3.6e-07,3.34463e-06
0.7999999999999999,9.909090909090909e-15,1e-10,100,1.8e-07,3.27718e-06
0.7999999999999999,9.909090909090909e-15,1e-10,100,3.6e-07,3.34749e-06
0.7999999999999999,9.909090909090909e-15,1e-10,125,1.8e-07,3.27846e-06
0.7999999999999999,9.909090909090909e-15,1e-10,125,3.6e-07,3.35001e-06
0.7999999999999999,9.909090909090909e-15,2e-10,-40,1.8e-07,3.26531e-06
0.7999999999999999,9.909090909090909e-15,2e-10,-40,3.6e-07,3.32592e-06
0.7999999999999999,9.909090909090909e-15,2e-10,-25,1.8e-07,3.26552e-06
0.7999999999999999,9.909090909090909e-15,2e-10,-25,3.6e-07,3.3262e-06
0.7999999999999999,9.909090909090909e-15,2e-10,0,1.8e-07,3.26771e-06
0.7999999999999999,9.909090909090909e-15,2e-10,0,3.6e-07,3.32971e-06
0.7999999999999999,9.909090909090909e-15,2e-10,25,1.8e-07,3.27029e-06
0.7999999999999999,9.909090909090909e-15,2e-10,25,3.6e-07,3.33378e-06
0.7999999999999999,9.909090909090909e-15,2e-10,75,1.8e-07,3.27438e-06
0.7999999999999999,9.909090909090909e-15,2e-10,75,3.6e-07,3.34138e-06
0.7999999999999999,9.909090909090909e-15,2e-10,100,1.8e-07,3.27612e-06
0.7999999999999999,9.909090909090909e-15,2e-10,100,3.6e-07,3.34464e-06
0.7999999999999999,9.909090909090909e-15,2e-10,125,1.8e-07,3.27724e-06
0.7999999999999999,9.909090909090909e-15,2e-10,125,3.6e-07,3.34747e-06
0.7999999999999999,9.909090909090909e-15,4e-10,-40,1.8e-07,3.28107e-06
0.7999999999999999,9.909090909090909e-15,4e-10,-40,3.6e-07,3.35462e-06
0.7999999999999999,9.909090909090909e-15,4e-10,-25,1.8e-07,3.27719e-06
0.7999999999999999,9.909090909090909e-15,4e-10,-25,3.6e-07,3.34781e-06
0.7999999999999999,9.909090909090909e-15,4e-10,0,1.8e-07,3.27605e-06
0.7999999999999999,9.909090909090909e-15,4e-10,0,3.6e-07,3.3457e-06
0.7999999999999999,9.909090909090909e-15,4e-10,25,1.8e-07,3.2767e-06
0.7999999999999999,9.909090909090909e-15,4e-10,25,3.6e-07,3.34717e-06
0.7999999999999999,9.909090909090909e-15,4e-10,75,1.8e-07,3.27595e-06
0.7999999999999999,9.909090909090909e-15,4e-10,75,3.6e-07,3.35212e-06
0.7999999999999999,9.909090909090909e-15,4e-10,100,1.8e-07,3.26764e-06
0.7999999999999999,9.909090909090909e-15,4e-10,100,3.6e-07,3.35488e-06
0.7999999999999999,9.909090909090909e-15,4e-10,125,1.8e-07,3.24757e-06
0.7999999999999999,9.909090909090909e-15,4e-10,125,3.6e-07,3.35767e-06
0.7999999999999999,1.436363636363636e-14,1e-11,-40,1.8e-07,4.70421e-06
0.7999999999999999,1.436363636363636e-14,1e-11,-40,3.6e-07,4.77903e-06
0.7999999999999999,1.436363636363636e-14,1e-11,-25,1.8e-07,4.70492e-06
0.7999999999999999,1.436363636363636e-14,1e-11,-25,3.6e-07,4.78061e-06
0.7999999999999999,1.436363636363636e-14,1e-11,0,1.8e-07,4.70549e-06
0.7999999999999999,1.436363636363636e-14,1e-11,0,3.6e-07,4.78247e-06
0.7999999999999999,1.436363636363636e-14,1e-11,25,1.8e-07,4.70627e-06
0.7999999999999999,1.436363636363636e-14,1e-11,25,3.6e-07,4.78353e-06
0.7999999999999999,1.436363636363636e-14,1e-11,75,1.8e-07,4.70802e-06
0.7999999999999999,1.436363636363636e-14,1e-11,75,3.6e-07,4.78559e-06
0.7999999999999999,1.436363636363636e-14,1e-11,100,1.8e-07,4.70846e-06
0.7999999999999999,1.436363636363636e-14,1e-11,100,3.6e-07,4.7871e-06
0.7999999999999999,1.436363636363636e-14,1e-11,125,1.8e-07,4.70824e-06
0.7999999999999999,1.436363636363636e-14,1e-11,125,3.6e-07,4.7877e-06
0.7999999999999999,1.436363636363636e-14,5e-11,-40,1.8e-07,4.69593e-06
0.7999999999999999,1.436363636363636e-14,5e-11,-40,3.6e-07,4.76109e-06
0.7999999999999999,1.436363636363636e-14,5e-11,-25,1.8e-07,4.69768e-06
0.7999999999999999,1.436363636363636e-14,5e-11,-25,3.6e-07,4.7649e-06
0.7999999999999999,1.436363636363636e-14,5e-11,0,1.8e-07,4.69991e-06
0.7999999999999999,1.436363636363636e-14,5e-11,0,3.6e-07,4.76962e-06
0.7999999999999999,1.436363636363636e-14,5e-11,25,1.8e-07,4.70202e-06
0.7999999999999999,1.436363636363636e-14,5e-11,25,3.6e-07,4.77269e-06
0.7999999999999999,1.436363636363636e-14,5e-11,75,1.8e-07,4.70449e-06
0.7999999999999999,1.436363636363636e-14,5e-11,75,3.6e-07,4.77776e-06
0.7999999999999999,1.436363636363636e-14,5e-11,100,1.8e-07,4.70522e-06
