Vdd,Cload,Slew,Temp,Wp,Gate_ID,Power
0.7999999999999999,1.436363636363636e-14,1e-11,0,1.8e-07,2,2.60609e-07
0.7999999999999999,1.436363636363636e-14,1e-11,0,3.6e-07,2,2.68597e-07
0.7999999999999999,1.436363636363636e-14,1e-11,25,1.8e-07,2,2.6008e-07
0.7999999999999999,1.436363636363636e-14,1e-11,25,3.6e-07,2,2.69366e-07
0.7999999999999999,1.436363636363636e-14,1e-11,75,1.8e-07,2,2.59149e-07
0.7999999999999999,1.436363636363636e-14,1e-11,75,3.6e-07,2,2.72021e-07
0.7999999999999999,1.436363636363636e-14,1e-11,100,1.8e-07,2,2.56446e-07
0.7999999999999999,1.436363636363636e-14,1e-11,100,3.6e-07,2,2.67725e-07
0.7999999999999999,1.436363636363636e-14,1e-11,125,1.8e-07,2,2.54865e-07
0.7999999999999999,1.436363636363636e-14,1e-11,125,3.6e-07,2,2.72725e-07
0.7999999999999999,1.436363636363636e-14,5e-11,-40,1.8e-07,2,2.84097e-07
0.7999999999999999,1.436363636363636e-14,5e-11,-40,3.6e-07,2,2.9266e-07
0.7999999999999999,1.436363636363636e-14,5e-11,-25,1.8e-07,2,2.83915e-07
0.7999999999999999,1.436363636363636e-14,5e-11,-25,3.6e-07,2,2.96134e-07
0.7999999999999999,1.436363636363636e-14,5e-11,0,1.8e-07,2,2.79295e-07
0.7999999999999999,1.436363636363636e-14,5e-11,0,3.6e-07,2,2.92143e-07
0.7999999999999999,1.436363636363636e-14,5e-11,25,1.8e-07,2,2.77199e-07
0.7999999999999999,1.436363636363636e-14,5e-11,25,3.6e-07,2,2.8586e-07
0.7999999999999999,1.436363636363636e-14,5e-11,75,1.8e-07,2,2.76992e-07
0.7999999999999999,1.436363636363636e-14,5e-11,75,3.6e-07,2,2.85294e-07
0.7999999999999999,1.436363636363636e-14,5e-11,100,1.8e-07,2,2.72756e-07
0.7999999999999999,1.436363636363636e-14,5e-11,100,3.6e-07,2,2.8286e-07
0.7999999999999999,1.436363636363636e-14,5e-11,125,1.8e-07,2,2.69217e-07
0.7999999999999999,1.436363636363636e-14,5e-11,125,3.6e-07,2,2.80699e-07
0.7999999999999999,1.436363636363636e-14,1e-10,-40,1.8e-07,2,3.22239e-07
0.7999999999999999,1.436363636363636e-14,1e-10,-40,3.6e-07,2,3.29864e-07
0.7999999999999999,1.436363636363636e-14,1e-10,-25,1.8e-07,2,3.19183e-07
0.7999999999999999,1.436363636363636e-14,1e-10,-25,3.6e-07,2,3.16539e-07
0.7999999999999999,1.436363636363636e-14,1e-10,0,1.8e-07,2,3.03441e-07
0.7999999999999999,1.436363636363636e-14,1e-10,0,3.6e-07,2,3.20208e-07
0.7999999999999999,1.436363636363636e-14,1e-10,25,1.8e-07,2,3.06388e-07
0.7999999999999999,1.436363636363636e-14,1e-10,25,3.6e-07,2,3.1367e-07
0.7999999999999999,1.436363636363636e-14,1e-10,75,1.8e-07,2,2.96183e-07
0.7999999999999999,1.436363636363636e-14,1e-10,75,3.6e-07,2,3.04109e-07
