Iteration,Vdd,Cload,Slew,Temp,Wp,Reason
4126,1.1,4.5545454545454544e-14,4e-10,75,3.6e-07,Power not found
4540,1.1999999999999995,1.8818181818181816e-14,4e-10,-25,3.6e-07,Power not found
4614,1.1999999999999995,2.3272727272727273e-14,4e-10,25,3.6e-07,Power not found
4651,1.1999999999999995,2.7727272727272724e-14,1e-10,-25,1.8e-07,Power not found
4656,1.1999999999999995,2.7727272727272724e-14,1e-10,25,3.6e-07,Power not found
4799,1.1999999999999995,3.663636363636364e-14,1e-10,100,1.8e-07,Power not found
4814,1.1999999999999995,3.663636363636364e-14,2e-10,100,3.6e-07,Power not found
4881,1.1999999999999995,4.109090909090909e-14,2e-10,75,1.8e-07,Power not found
4884,1.1999999999999995,4.109090909090909e-14,2e-10,100,3.6e-07,Power not found
4962,1.1999999999999995,4.5545454545454544e-14,4e-10,0,3.6e-07,Power not found
4971,1.1999999999999995,5e-14,1e-11,-40,1.8e-07,Power not found
5015,1.1999999999999995,5e-14,2e-10,-25,1.8e-07,Power not found
5085,1.2999999999999998,1e-15,2e-10,-25,1.8e-07,Power not found
5130,1.2999999999999998,5.454545454545455e-15,5e-11,0,3.6e-07,Power not found
5132,1.2999999999999998,5.454545454545455e-15,5e-11,25,3.6e-07,Power not found
5151,1.2999999999999998,5.454545454545455e-15,1e-10,125,1.8e-07,Power not found
5172,1.2999999999999998,5.454545454545455e-15,4e-10,0,3.6e-07,Power not found
5177,1.2999999999999998,5.454545454545455e-15,4e-10,100,1.8e-07,Power not found
5195,1.2999999999999998,9.909090909090907e-15,5e-11,-40,1.8e-07,Power not found
5206,1.2999999999999998,9.909090909090907e-15,5e-11,100,3.6e-07,Power not found
5237,1.2999999999999998,9.909090909090907e-15,4e-10,-40,1.8e-07,Power not found
5263,1.2999999999999998,1.436363636363636e-14,1e-11,125,1.8e-07,Power not found
5266,1.2999999999999998,1.436363636363636e-14,5e-11,-40,3.6e-07,Power not found
5271,1.2999999999999998,1.436363636363636e-14,5e-11,25,1.8e-07,Power not found
5347,1.2999999999999998,1.8818181818181816e-14,5e-11,125,1.8e-07,Power not found
