Iteration,Vdd,Cload,Slew,Temp,Wp,Reason
1176,0.7999999999999999,1.8818181818181816e-14,2e-10,125,3.6e-07,Power value not found in log
1177,0.7999999999999999,1.8818181818181816e-14,4e-10,-40,1.8e-07,Power value not found in log
1178,0.7999999999999999,1.8818181818181816e-14,4e-10,-40,3.6e-07,Power value not found in log
1180,0.7999999999999999,1.8818181818181816e-14,4e-10,-25,3.6e-07,Power value not found in log
1182,0.7999999999999999,1.8818181818181816e-14,4e-10,0,3.6e-07,Power value not found in log
1183,0.7999999999999999,1.8818181818181816e-14,4e-10,25,1.8e-07,Power value not found in log
1185,0.7999999999999999,1.8818181818181816e-14,4e-10,75,1.8e-07,Power value not found in log
1186,0.7999999999999999,1.8818181818181816e-14,4e-10,75,3.6e-07,Power value not found in log
1187,0.7999999999999999,1.8818181818181816e-14,4e-10,100,1.8e-07,Power value not found in log
1189,0.7999999999999999,1.8818181818181816e-14,4e-10,125,1.8e-07,Power value not found in log
1191,0.7999999999999999,2.327272727272727e-14,1e-11,-40,1.8e-07,Power value not found in log
1195,0.7999999999999999,2.327272727272727e-14,1e-11,0,1.8e-07,Power value not found in log
1200,0.7999999999999999,2.327272727272727e-14,1e-11,75,3.6e-07,Power value not found in log
1202,0.7999999999999999,2.327272727272727e-14,1e-11,100,3.6e-07,Power value not found in log
1203,0.7999999999999999,2.327272727272727e-14,1e-11,125,1.8e-07,Power value not found in log
1204,0.7999999999999999,2.327272727272727e-14,1e-11,125,3.6e-07,Power value not found in log
1206,0.7999999999999999,2.327272727272727e-14,5e-11,-40,3.6e-07,Power value not found in log
1207,0.7999999999999999,2.327272727272727e-14,5e-11,-25,1.8e-07,Power value not found in log
1209,0.7999999999999999,2.327272727272727e-14,5e-11,0,1.8e-07,Power value not found in log
1210,0.7999999999999999,2.327272727272727e-14,5e-11,0,3.6e-07,Power value not found in log
1211,0.7999999999999999,2.327272727272727e-14,5e-11,25,1.8e-07,Power value not found in log
1213,0.7999999999999999,2.327272727272727e-14,5e-11,75,1.8e-07,Power value not found in log
1215,0.7999999999999999,2.327272727272727e-14,5e-11,100,1.8e-07,Power value not found in log
1216,0.7999999999999999,2.327272727272727e-14,5e-11,100,3.6e-07,Power value not found in log
1218,0.7999999999999999,2.327272727272727e-14,5e-11,125,3.6e-07,Power value not found in log
1220,0.7999999999999999,2.327272727272727e-14,1e-10,-40,3.6e-07,Power value not found in log
1221,0.7999999999999999,2.327272727272727e-14,1e-10,-25,1.8e-07,Power value not found in log
1222,0.7999999999999999,2.327272727272727e-14,1e-10,-25,3.6e-07,Power value not found in log
1223,0.7999999999999999,2.327272727272727e-14,1e-10,0,1.8e-07,Power value not found in log
1224,0.7999999999999999,2.327272727272727e-14,1e-10,0,3.6e-07,Power value not found in log
1225,0.7999999999999999,2.327272727272727e-14,1e-10,25,1.8e-07,Power value not found in log
1227,0.7999999999999999,2.327272727272727e-14,1e-10,75,1.8e-07,Power value not found in log
1230,0.7999999999999999,2.327272727272727e-14,1e-10,100,3.6e-07,Power value not found in log
1231,0.7999999999999999,2.327272727272727e-14,1e-10,125,1.8e-07,Power value not found in log
1233,0.7999999999999999,2.327272727272727e-14,2e-10,-40,1.8e-07,Power value not found in log
1234,0.7999999999999999,2.327272727272727e-14,2e-10,-40,3.6e-07,Power value not found in log
1235,0.7999999999999999,2.327272727272727e-14,2e-10,-25,1.8e-07,Power value not found in log
1240,0.7999999999999999,2.327272727272727e-14,2e-10,25,3.6e-07,Power value not found in log
1242,0.7999999999999999,2.327272727272727e-14,2e-10,75,3.6e-07,Power value not found in log
1248,0.7999999999999999,2.327272727272727e-14,4e-10,-40,3.6e-07,Power value not found in log
1249,0.7999999999999999,2.327272727272727e-14,4e-10,-25,1.8e-07,Power value not found in log
1250,0.7999999999999999,2.327272727272727e-14,4e-10,-25,3.6e-07,Power value not found in log
1252,0.7999999999999999,2.327272727272727e-14,4e-10,0,3.6e-07,Power value not found in log
1253,0.7999999999999999,2.327272727272727e-14,4e-10,25,1.8e-07,Power value not found in log
1255,0.7999999999999999,2.327272727272727e-14,4e-10,75,1.8e-07,Power value not found in log
1256,0.7999999999999999,2.327272727272727e-14,4e-10,75,3.6e-07,Power value not found in log
1257,0.7999999999999999,2.327272727272727e-14,4e-10,100,1.8e-07,Power value not found in log
