Vdd,Cload,Slew,Temp,Wp,Gate_ID,Power
0.7,5.454545454545455e-15,1e-11,100,3.6e-07,1,9.28787e-08
0.7,5.454545454545455e-15,1e-11,125,1.8e-07,1,8.64855e-08
0.7,5.454545454545455e-15,1e-11,125,3.6e-07,1,9.24089e-08
0.7,5.454545454545455e-15,5e-11,-40,1.8e-07,1,1.012e-07
0.7,5.454545454545455e-15,5e-11,-40,3.6e-07,1,1.09491e-07
0.7,5.454545454545455e-15,5e-11,-25,1.8e-07,1,9.99109e-08
0.7,5.454545454545455e-15,5e-11,-25,3.6e-07,1,1.0819e-07
0.7,5.454545454545455e-15,5e-11,0,1.8e-07,1,9.96124e-08
0.7,5.454545454545455e-15,5e-11,0,3.6e-07,1,1.07782e-07
0.7,5.454545454545455e-15,5e-11,25,1.8e-07,1,9.65907e-08
0.7,5.454545454545455e-15,5e-11,25,3.6e-07,1,1.02154e-07
0.7,5.454545454545455e-15,5e-11,75,1.8e-07,1,9.52915e-08
0.7,5.454545454545455e-15,5e-11,75,3.6e-07,1,1.00122e-07
0.7,5.454545454545455e-15,5e-11,100,1.8e-07,1,9.54749e-08
0.7,5.454545454545455e-15,5e-11,100,3.6e-07,1,1.02303e-07
0.7,5.454545454545455e-15,5e-11,125,1.8e-07,1,9.41398e-08
0.7,5.454545454545455e-15,5e-11,125,3.6e-07,1,1.00124e-07
0.7,5.454545454545455e-15,1e-10,-40,1.8e-07,1,1.21276e-07
0.7,5.454545454545455e-15,1e-10,-40,3.6e-07,1,1.22399e-07
0.7,5.454545454545455e-15,1e-10,-25,1.8e-07,1,1.19378e-07
0.7,5.454545454545455e-15,1e-10,-25,3.6e-07,1,1.29889e-07
0.7,5.454545454545455e-15,1e-10,0,1.8e-07,1,1.08828e-07
0.7,5.454545454545455e-15,1e-10,0,3.6e-07,1,1.22761e-07
0.7,5.454545454545455e-15,1e-10,25,1.8e-07,1,1.12082e-07
0.7,5.454545454545455e-15,1e-10,25,3.6e-07,1,1.18256e-07
0.7,5.454545454545455e-15,1e-10,75,1.8e-07,1,1.03546e-07
0.7,5.454545454545455e-15,1e-10,75,3.6e-07,1,1.10652e-07
0.7,5.454545454545455e-15,1e-10,100,1.8e-07,1,1.06391e-07
0.7,5.454545454545455e-15,1e-10,100,3.6e-07,1,1.08199e-07
0.7,5.454545454545455e-15,1e-10,125,1.8e-07,1,1.03774e-07
0.7,5.454545454545455e-15,1e-10,125,3.6e-07,1,1.08336e-07
0.7,5.454545454545455e-15,2e-10,-40,1.8e-07,1,1.48973e-07
0.7,5.454545454545455e-15,2e-10,-40,3.6e-07,1,1.46934e-07
0.7,5.454545454545455e-15,2e-10,-25,1.8e-07,1,1.41013e-07
0.7,5.454545454545455e-15,2e-10,-25,3.6e-07,1,1.32431e-07
0.7,5.454545454545455e-15,2e-10,0,1.8e-07,1,1.31962e-07
0.7,5.454545454545455e-15,2e-10,0,3.6e-07,1,1.29088e-07
0.7,5.454545454545455e-15,2e-10,25,1.8e-07,1,1.31118e-07
0.7,5.454545454545455e-15,2e-10,25,3.6e-07,1,1.32602e-07
0.7,5.454545454545455e-15,2e-10,75,1.8e-07,1,1.25753e-07
0.7,5.454545454545455e-15,2e-10,75,3.6e-07,1,1.30056e-07
0.7,5.454545454545455e-15,2e-10,100,1.8e-07,1,1.15891e-07
0.7,5.454545454545455e-15,2e-10,100,3.6e-07,1,1.27196e-07
0.7,5.454545454545455e-15,2e-10,125,1.8e-07,1,1.16825e-07
0.7,5.454545454545455e-15,2e-10,125,3.6e-07,1,1.2475e-07
0.7,5.454545454545455e-15,4e-10,-40,1.8e-07,1,1.57048e-07
0.7,5.454545454545455e-15,4e-10,-40,3.6e-07,1,1.68237e-07
0.7,5.454545454545455e-15,4e-10,-25,1.8e-07,1,1.56811e-07
0.7,5.454545454545455e-15,4e-10,-25,3.6e-07,1,1.69201e-07
0.7,5.454545454545455e-15,4e-10,0,1.8e-07,1,1.60232e-07
0.7,5.454545454545455e-15,4e-10,0,3.6e-07,1,1.69268e-07
0.7,5.454545454545455e-15,4e-10,25,1.8e-07,1,1.59096e-07
0.7,5.454545454545455e-15,4e-10,25,3.6e-07,1,1.64863e-07
0.7,5.454545454545455e-15,4e-10,75,1.8e-07,1,1.48665e-07
0.7,5.454545454545455e-15,4e-10,75,3.6e-07,1,1.53281e-07
0.7,5.454545454545455e-15,4e-10,100,1.8e-07,1,1.45055e-07
0.7,5.454545454545455e-15,4e-10,100,3.6e-07,1,1.47504e-07
0.7,5.454545454545455e-15,4e-10,125,1.8e-07,1,1.40461e-07
0.7,5.454545454545455e-15,4e-10,125,3.6e-07,1,1.43748e-07
0.7,9.909090909090907e-15,1e-11,-40,1.8e-07,1,1.39831e-07
0.7,9.909090909090907e-15,1e-11,-40,3.6e-07,1,1.46798e-07
0.7,9.909090909090907e-15,1e-11,-25,1.8e-07,1,1.41746e-07
0.7,9.909090909090907e-15,1e-11,-25,3.6e-07,1,1.50126e-07
0.7,9.909090909090907e-15,1e-11,0,1.8e-07,1,1.44193e-07
0.7,9.909090909090907e-15,1e-11,0,3.6e-07,1,1.48977e-07
0.7,9.909090909090907e-15,1e-11,25,1.8e-07,1,1.42774e-07
0.7,9.909090909090907e-15,1e-11,25,3.6e-07,1,1.4814e-07
0.7,9.909090909090907e-15,1e-11,75,1.8e-07,1,1.40663e-07
0.7,9.909090909090907e-15,1e-11,75,3.6e-07,1,1.47008e-07
