Vdd,Cload,Slew,Temp,Wp,Power
1.1999999999999997,5e-14,1e-10,-25,1.8e-07,3.63572e-05
1.1999999999999997,5e-14,1e-10,-25,3.6e-07,3.65993e-05
1.1999999999999997,5e-14,1e-10,0,1.8e-07,3.63151e-05
1.1999999999999997,5e-14,1e-10,0,3.6e-07,3.65416e-05
1.1999999999999997,5e-14,1e-10,25,1.8e-07,3.6258e-05
1.1999999999999997,5e-14,1e-10,25,3.6e-07,3.64885e-05
1.1999999999999997,5e-14,1e-10,75,1.8e-07,3.57384e-05
1.1999999999999997,5e-14,1e-10,75,3.6e-07,3.62728e-05
1.1999999999999997,5e-14,1e-10,100,1.8e-07,3.50023e-05
1.1999999999999997,5e-14,1e-10,100,3.6e-07,3.6021e-05
1.1999999999999997,5e-14,1e-10,125,1.8e-07,3.38217e-05
1.1999999999999997,5e-14,1e-10,125,3.6e-07,3.56006e-05
1.1999999999999997,5e-14,2e-10,-40,1.8e-07,3.67541e-05
1.1999999999999997,5e-14,2e-10,-40,3.6e-07,3.72346e-05
1.1999999999999997,5e-14,2e-10,-25,1.8e-07,3.66551e-05
1.1999999999999997,5e-14,2e-10,-25,3.6e-07,3.70902e-05
1.1999999999999997,5e-14,2e-10,0,1.8e-07,3.65323e-05
1.1999999999999997,5e-14,2e-10,0,3.6e-07,3.69186e-05
1.1999999999999997,5e-14,2e-10,25,1.8e-07,3.63908e-05
1.1999999999999997,5e-14,2e-10,25,3.6e-07,3.67911e-05
1.1999999999999997,5e-14,2e-10,75,1.8e-07,3.54861e-05
1.1999999999999997,5e-14,2e-10,75,3.6e-07,3.65276e-05
1.1999999999999997,5e-14,2e-10,100,1.8e-07,3.44348e-05
1.1999999999999997,5e-14,2e-10,100,3.6e-07,3.62929e-05
1.1999999999999997,5e-14,2e-10,125,1.8e-07,3.29255e-05
1.1999999999999997,5e-14,2e-10,125,3.6e-07,3.58969e-05
1.1999999999999997,5e-14,4e-10,-40,1.8e-07,3.78322e-05
1.1999999999999997,5e-14,4e-10,-40,3.6e-07,3.89131e-05
1.1999999999999997,5e-14,4e-10,-25,1.8e-07,3.75269e-05
1.1999999999999997,5e-14,4e-10,-25,3.6e-07,3.85479e-05
1.1999999999999997,5e-14,4e-10,0,1.8e-07,3.69644e-05
1.1999999999999997,5e-14,4e-10,0,3.6e-07,3.80797e-05
1.1999999999999997,5e-14,4e-10,25,1.8e-07,3.6059e-05
1.1999999999999997,5e-14,4e-10,25,3.6e-07,3.77258e-05
1.1999999999999997,5e-14,4e-10,75,1.8e-07,3.2613e-05
1.1999999999999997,5e-14,4e-10,75,3.6e-07,3.70594e-05
1.1999999999999997,5e-14,4e-10,100,1.8e-07,3.02744e-05
1.1999999999999997,5e-14,4e-10,100,3.6e-07,3.65274e-05
1.1999999999999997,5e-14,4e-10,125,1.8e-07,2.78035e-05
1.1999999999999997,5e-14,4e-10,125,3.6e-07,3.57152e-05
1.2999999999999998,1e-15,1e-11,-40,1.8e-07,1.16747e-06
1.2999999999999998,1e-15,1e-11,-40,3.6e-07,1.31996e-06
1.2999999999999998,1e-15,1e-11,-25,1.8e-07,1.15856e-06
1.2999999999999998,1e-15,1e-11,-25,3.6e-07,1.31881e-06
1.2999999999999998,1e-15,1e-11,0,1.8e-07,1.14865e-06
1.2999999999999998,1e-15,1e-11,0,3.6e-07,1.32159e-06
1.2999999999999998,1e-15,1e-11,25,1.8e-07,1.14366e-06
1.2999999999999998,1e-15,1e-11,25,3.6e-07,1.32656e-06
1.2999999999999998,1e-15,1e-11,75,1.8e-07,1.1462e-06
1.2999999999999998,1e-15,1e-11,75,3.6e-07,1.33762e-06
1.2999999999999998,1e-15,1e-11,100,1.8e-07,1.15168e-06
1.2999999999999998,1e-15,1e-11,100,3.6e-07,1.34551e-06
1.2999999999999998,1e-15,1e-11,125,1.8e-07,1.15875e-06
1.2999999999999998,1e-15,1e-11,125,3.6e-07,1.35595e-06
1.2999999999999998,1e-15,5e-11,-40,1.8e-07,1.80272e-06
1.2999999999999998,1e-15,5e-11,-40,3.6e-07,2.19759e-06
1.2999999999999998,1e-15,5e-11,-25,1.8e-07,1.73085e-06
1.2999999999999998,1e-15,5e-11,-25,3.6e-07,2.1205e-06
1.2999999999999998,1e-15,5e-11,0,1.8e-07,1.62415e-06
1.2999999999999998,1e-15,5e-11,0,3.6e-07,1.99952e-06
1.2999999999999998,1e-15,5e-11,25,1.8e-07,1.53671e-06
1.2999999999999998,1e-15,5e-11,25,3.6e-07,1.89352e-06
1.2999999999999998,1e-15,5e-11,75,1.8e-07,1.41319e-06
1.2999999999999998,1e-15,5e-11,75,3.6e-07,1.73291e-06
1.2999999999999998,1e-15,5e-11,100,1.8e-07,1.37221e-06
1.2999999999999998,1e-15,5e-11,100,3.6e-07,1.67656e-06
1.2999999999999998,1e-15,5e-11,125,1.8e-07,1.34165e-06
1.2999999999999998,1e-15,5e-11,125,3.6e-07,1.63302e-06
1.2999999999999998,1e-15,1e-10,-40,1.8e-07,2.91292e-06
1.2999999999999998,1e-15,1e-10,-40,3.6e-07,3.56604e-06
1.2999999999999998,1e-15,1e-10,-25,1.8e-07,2.76276e-06
1.2999999999999998,1e-15,1e-10,-25,3.6e-07,3.41192e-06
1.2999999999999998,1e-15,1e-10,0,1.8e-07,2.52602e-06
1.2999999999999998,1e-15,1e-10,0,3.6e-07,3.15827e-06
1.2999999999999998,1e-15,1e-10,25,1.8e-07,2.31772e-06
1.2999999999999998,1e-15,1e-10,25,3.6e-07,2.92406e-06
1.2999999999999998,1e-15,1e-10,75,1.8e-07,1.99347e-06
1.2999999999999998,1e-15,1e-10,75,3.6e-07,2.53735e-06
1.2999999999999998,1e-15,1e-10,100,1.8e-07,1.87331e-06
1.2999999999999998,1e-15,1e-10,100,3.6e-07,2.38602e-06
1.2999999999999998,1e-15,1e-10,125,1.8e-07,1.77609e-06
1.2999999999999998,1e-15,1e-10,125,3.6e-07,2.26011e-06
1.2999999999999998,1e-15,2e-10,-40,1.8e-07,5.39991e-06
1.2999999999999998,1e-15,2e-10,-40,3.6e-07,6.63808e-06
1.2999999999999998,1e-15,2e-10,-25,1.8e-07,5.09377e-06
1.2999999999999998,1e-15,2e-10,-25,3.6e-07,6.32577e-06
1.2999999999999998,1e-15,2e-10,0,1.8e-07,4.60046e-06
1.2999999999999998,1e-15,2e-10,0,3.6e-07,5.7985e-06
1.2999999999999998,1e-15,2e-10,25,1.8e-07,4.15432e-06
1.2999999999999998,1e-15,2e-10,25,3.6e-07,5.30126e-06
1.2999999999999998,1e-15,2e-10,75,1.8e-07,3.42825e-06
1.2999999999999998,1e-15,2e-10,75,3.6e-07,4.45097e-06
1.2999999999999998,1e-15,2e-10,100,1.8e-07,3.14379e-06
1.2999999999999998,1e-15,2e-10,100,3.6e-07,4.10341e-06
1.2999999999999998,1e-15,2e-10,125,1.8e-07,2.90393e-06
1.2999999999999998,1e-15,2e-10,125,3.6e-07,3.80469e-06
1.2999999999999998,1e-15,4e-10,-40,1.8e-07,1.05673e-05
1.2999999999999998,1e-15,4e-10,-40,3.6e-07,1.3041e-05
1.2999999999999998,1e-15,4e-10,-25,1.8e-07,9.94933e-06
1.2999999999999998,1e-15,4e-10,-25,3.6e-07,1.24094e-05
1.2999999999999998,1e-15,4e-10,0,1.8e-07,8.94825e-06
1.2999999999999998,1e-15,4e-10,0,3.6e-07,1.13355e-05
1.2999999999999998,1e-15,4e-10,25,1.8e-07,8.03616e-06
1.2999999999999998,1e-15,4e-10,25,3.6e-07,1.03178e-05
1.2999999999999998,1e-15,4e-10,75,1.8e-07,6.53183e-06
1.2999999999999998,1e-15,4e-10,75,3.6e-07,8.55794e-06
1.2999999999999998,1e-15,4e-10,100,1.8e-07,5.93076e-06
1.2999999999999998,1e-15,4e-10,100,3.6e-07,7.82823e-06
1.2999999999999998,1e-15,4e-10,125,1.8e-07,5.41661e-06
1.2999999999999998,1e-15,4e-10,125,3.6e-07,7.19218e-06
1.2999999999999998,5.454545454545455e-15,1e-11,-40,1.8e-07,4.90889e-06
1.2999999999999998,5.454545454545455e-15,1e-11,-40,3.6e-07,5.10145e-06
1.2999999999999998,5.454545454545455e-15,1e-11,-25,1.8e-07,4.90772e-06
1.2999999999999998,5.454545454545455e-15,1e-11,-25,3.6e-07,5.10267e-06
1.2999999999999998,5.454545454545455e-15,1e-11,0,1.8e-07,4.90772e-06
1.2999999999999998,5.454545454545455e-15,1e-11,0,3.6e-07,5.10601e-06
1.2999999999999998,5.454545454545455e-15,1e-11,25,1.8e-07,4.9102e-06
1.2999999999999998,5.454545454545455e-15,1e-11,25,3.6e-07,5.11093e-06
1.2999999999999998,5.454545454545455e-15,1e-11,75,1.8e-07,4.91972e-06
1.2999999999999998,5.454545454545455e-15,1e-11,75,3.6e-07,5.12461e-06
1.2999999999999998,5.454545454545455e-15,1e-11,100,1.8e-07,4.92536e-06
1.2999999999999998,5.454545454545455e-15,1e-11,100,3.6e-07,5.13457e-06
1.2999999999999998,5.454545454545455e-15,1e-11,125,1.8e-07,4.93075e-06
1.2999999999999998,5.454545454545455e-15,1e-11,125,3.6e-07,5.14451e-06
1.2999999999999998,5.454545454545455e-15,5e-11,-40,1.8e-07,5.24456e-06
1.2999999999999998,5.454545454545455e-15,5e-11,-40,3.6e-07,5.59066e-06
1.2999999999999998,5.454545454545455e-15,5e-11,-25,1.8e-07,5.19122e-06
1.2999999999999998,5.454545454545455e-15,5e-11,-25,3.6e-07,5.52241e-06
1.2999999999999998,5.454545454545455e-15,5e-11,0,1.8e-07,5.12304e-06
1.2999999999999998,5.454545454545455e-15,5e-11,0,3.6e-07,5.43074e-06
1.2999999999999998,5.454545454545455e-15,5e-11,25,1.8e-07,5.07424e-06
1.2999999999999998,5.454545454545455e-15,5e-11,25,3.6e-07,5.36238e-06
1.2999999999999998,5.454545454545455e-15,5e-11,75,1.8e-07,5.01794e-06
1.2999999999999998,5.454545454545455e-15,5e-11,75,3.6e-07,5.27877e-06
1.2999999999999998,5.454545454545455e-15,5e-11,100,1.8e-07,5.00284e-06
1.2999999999999998,5.454545454545455e-15,5e-11,100,3.6e-07,5.25522e-06
1.2999999999999998,5.454545454545455e-15,5e-11,125,1.8e-07,4.99284e-06
1.2999999999999998,5.454545454545455e-15,5e-11,125,3.6e-07,5.24062e-06
1.2999999999999998,5.454545454545455e-15,1e-10,-40,1.8e-07,5.93662e-06
1.2999999999999998,5.454545454545455e-15,1e-10,-40,3.6e-07,6.59163e-06
1.2999999999999998,5.454545454545455e-15,1e-10,-25,1.8e-07,5.80511e-06
1.2999999999999998,5.454545454545455e-15,1e-10,-25,3.6e-07,6.43177e-06
1.2999999999999998,5.454545454545455e-15,1e-10,0,1.8e-07,5.62353e-06
1.2999999999999998,5.454545454545455e-15,1e-10,0,3.6e-07,6.19543e-06
1.2999999999999998,5.454545454545455e-15,1e-10,25,1.8e-07,5.48244e-06
1.2999999999999998,5.454545454545455e-15,1e-10,25,3.6e-07,6.00095e-06
1.2999999999999998,5.454545454545455e-15,1e-10,75,1.8e-07,5.29262e-06
1.2999999999999998,5.454545454545455e-15,1e-10,75,3.6e-07,5.72287e-06
1.2999999999999998,5.454545454545455e-15,1e-10,100,1.8e-07,5.23049e-06
1.2999999999999998,5.454545454545455e-15,1e-10,100,3.6e-07,5.62811e-06
1.2999999999999998,5.454545454545455e-15,1e-10,125,1.8e-07,5.18345e-06
1.2999999999999998,5.454545454545455e-15,1e-10,125,3.6e-07,5.5553e-06
1.2999999999999998,5.454545454545455e-15,2e-10,-40,1.8e-07,7.70126e-06
1.2999999999999998,5.454545454545455e-15,2e-10,-40,3.6e-07,8.97067e-06
1.2999999999999998,5.454545454545455e-15,2e-10,-25,1.8e-07,7.40856e-06
1.2999999999999998,5.454545454545455e-15,2e-10,-25,3.6e-07,8.649e-06
1.2999999999999998,5.454545454545455e-15,2e-10,0,1.8e-07,6.97583e-06
1.2999999999999998,5.454545454545455e-15,2e-10,0,3.6e-07,8.14165e-06
1.2999999999999998,5.454545454545455e-15,2e-10,25,1.8e-07,6.61967e-06
1.2999999999999998,5.454545454545455e-15,2e-10,25,3.6e-07,7.69306e-06
1.2999999999999998,5.454545454545455e-15,2e-10,75,1.8e-07,6.10248e-06
1.2999999999999998,5.454545454545455e-15,2e-10,75,3.6e-07,6.98461e-06
1.2999999999999998,5.454545454545455e-15,2e-10,100,1.8e-07,5.91859e-06
1.2999999999999998,5.454545454545455e-15,2e-10,100,3.6e-07,6.71786e-06
1.2999999999999998,5.454545454545455e-15,2e-10,125,1.8e-07,5.77233e-06
1.2999999999999998,5.454545454545455e-15,2e-10,125,3.6e-07,6.49974e-06
1.2999999999999998,5.454545454545455e-15,4e-10,-40,1.8e-07,1.20043e-05
1.2999999999999998,5.454545454545455e-15,4e-10,-40,3.6e-07,1.44113e-05
1.2999999999999998,5.454545454545455e-15,4e-10,-25,1.8e-07,1.14003e-05
1.2999999999999998,5.454545454545455e-15,4e-10,-25,3.6e-07,1.37863e-05
1.2999999999999998,5.454545454545455e-15,4e-10,0,1.8e-07,1.04528e-05
1.2999999999999998,5.454545454545455e-15,4e-10,0,3.6e-07,1.27552e-05
1.2999999999999998,5.454545454545455e-15,4e-10,25,1.8e-07,9.62274e-06
1.2999999999999998,5.454545454545455e-15,4e-10,25,3.6e-07,1.18015e-05
1.2999999999999998,5.454545454545455e-15,4e-10,75,1.8e-07,8.32716e-06
1.2999999999999998,5.454545454545455e-15,4e-10,75,3.6e-07,1.02056e-05
1.2999999999999998,5.454545454545455e-15,4e-10,100,1.8e-07,7.84099e-06
1.2999999999999998,5.454545454545455e-15,4e-10,100,3.6e-07,9.56772e-06
1.2999999999999998,5.454545454545455e-15,4e-10,125,1.8e-07,7.44161e-06
1.2999999999999998,5.454545454545455e-15,4e-10,125,3.6e-07,9.02492e-06
1.2999999999999998,9.909090909090909e-15,1e-11,-40,1.8e-07,8.67281e-06
1.2999999999999998,9.909090909090909e-15,1e-11,-40,3.6e-07,8.87016e-06
1.2999999999999998,9.909090909090909e-15,1e-11,-25,1.8e-07,8.67198e-06
1.2999999999999998,9.909090909090909e-15,1e-11,-25,3.6e-07,8.87184e-06
1.2999999999999998,9.909090909090909e-15,1e-11,0,1.8e-07,8.674e-06
1.2999999999999998,9.909090909090909e-15,1e-11,0,3.6e-07,8.87575e-06
1.2999999999999998,9.909090909090909e-15,1e-11,25,1.8e-07,8.67782e-06
1.2999999999999998,9.909090909090909e-15,1e-11,25,3.6e-07,8.88019e-06
1.2999999999999998,9.909090909090909e-15,1e-11,75,1.8e-07,8.68402e-06
1.2999999999999998,9.909090909090909e-15,1e-11,75,3.6e-07,8.89565e-06
1.2999999999999998,9.909090909090909e-15,1e-11,100,1.8e-07,8.68904e-06
1.2999999999999998,9.909090909090909e-15,1e-11,100,3.6e-07,8.9049e-06
1.2999999999999998,9.909090909090909e-15,1e-11,125,1.8e-07,8.69441e-06
1.2999999999999998,9.909090909090909e-15,1e-11,125,3.6e-07,8.91345e-06
1.2999999999999998,9.909090909090909e-15,5e-11,-40,1.8e-07,8.9136e-06
1.2999999999999998,9.909090909090909e-15,5e-11,-40,3.6e-07,9.2305e-06
1.2999999999999998,9.909090909090909e-15,5e-11,-25,1.8e-07,8.87144e-06
1.2999999999999998,9.909090909090909e-15,5e-11,-25,3.6e-07,9.17354e-06
1.2999999999999998,9.909090909090909e-15,5e-11,0,1.8e-07,8.82077e-06
1.2999999999999998,9.909090909090909e-15,5e-11,0,3.6e-07,9.10067e-06
1.2999999999999998,9.909090909090909e-15,5e-11,25,1.8e-07,8.78657e-06
1.2999999999999998,9.909090909090909e-15,5e-11,25,3.6e-07,9.05041e-06
1.2999999999999998,9.909090909090909e-15,5e-11,75,1.8e-07,8.74629e-06
1.2999999999999998,9.909090909090909e-15,5e-11,75,3.6e-07,8.99354e-06
1.2999999999999998,9.909090909090909e-15,5e-11,100,1.8e-07,8.73705e-06
1.2999999999999998,9.909090909090909e-15,5e-11,100,3.6e-07,8.97963e-06
1.2999999999999998,9.909090909090909e-15,5e-11,125,1.8e-07,8.73197e-06
1.2999999999999998,9.909090909090909e-15,5e-11,125,3.6e-07,8.97248e-06
1.2999999999999998,9.909090909090909e-15,1e-10,-40,1.8e-07,9.46324e-06
1.2999999999999998,9.909090909090909e-15,1e-10,-40,3.6e-07,1.00465e-05
1.2999999999999998,9.909090909090909e-15,1e-10,-25,1.8e-07,9.34787e-06
