Vdd,Cload,Slew,Temp,Wp,Power
0.9999999999999999,2.7727272727272724e-14,4e-10,0,1.8e-07,4.5499e-06
0.9999999999999999,2.7727272727272724e-14,4e-10,0,3.6e-07,4.9006e-06
0.9999999999999999,2.7727272727272724e-14,4e-10,25,1.8e-07,4.18923e-06
0.9999999999999999,2.7727272727272724e-14,4e-10,25,3.6e-07,4.8798e-06
0.9999999999999999,2.7727272727272724e-14,4e-10,75,1.8e-07,3.25528e-06
0.9999999999999999,2.7727272727272724e-14,4e-10,75,3.6e-07,4.71119e-06
0.9999999999999999,2.7727272727272724e-14,4e-10,100,1.8e-07,2.85032e-06
0.9999999999999999,2.7727272727272724e-14,4e-10,100,3.6e-07,4.51913e-06
0.9999999999999999,2.7727272727272724e-14,4e-10,125,1.8e-07,2.5127e-06
0.9999999999999999,2.7727272727272724e-14,4e-10,125,3.6e-07,4.26053e-06
0.9999999999999999,3.218181818181818e-14,1e-11,-40,1.8e-07,5.5032e-06
0.9999999999999999,3.218181818181818e-14,1e-11,-40,3.6e-07,5.61704e-06
0.9999999999999999,3.218181818181818e-14,1e-11,-25,1.8e-07,5.50547e-06
0.9999999999999999,3.218181818181818e-14,1e-11,-25,3.6e-07,5.62196e-06
0.9999999999999999,3.218181818181818e-14,1e-11,0,1.8e-07,5.50547e-06
0.9999999999999999,3.218181818181818e-14,1e-11,0,3.6e-07,5.62971e-06
0.9999999999999999,3.218181818181818e-14,1e-11,25,1.8e-07,5.48438e-06
0.9999999999999999,3.218181818181818e-14,1e-11,25,3.6e-07,5.63696e-06
0.9999999999999999,3.218181818181818e-14,1e-11,75,1.8e-07,5.24824e-06
0.9999999999999999,3.218181818181818e-14,1e-11,75,3.6e-07,5.64666e-06
0.9999999999999999,3.218181818181818e-14,1e-11,100,1.8e-07,4.99907e-06
0.9999999999999999,3.218181818181818e-14,1e-11,100,3.6e-07,5.64004e-06
0.9999999999999999,3.218181818181818e-14,1e-11,125,1.8e-07,4.68446e-06
0.9999999999999999,3.218181818181818e-14,1e-11,125,3.6e-07,5.61239e-06
0.9999999999999999,3.218181818181818e-14,5e-11,-40,1.8e-07,5.49538e-06
0.9999999999999999,3.218181818181818e-14,5e-11,-40,3.6e-07,5.59919e-06
0.9999999999999999,3.218181818181818e-14,5e-11,-25,1.8e-07,5.49708e-06
0.9999999999999999,3.218181818181818e-14,5e-11,-25,3.6e-07,5.60373e-06
0.9999999999999999,3.218181818181818e-14,5e-11,0,1.8e-07,5.49425e-06
0.9999999999999999,3.218181818181818e-14,5e-11,0,3.6e-07,5.61102e-06
0.9999999999999999,3.218181818181818e-14,5e-11,25,1.8e-07,5.46293e-06
0.9999999999999999,3.218181818181818e-14,5e-11,25,3.6e-07,5.61787e-06
0.9999999999999999,3.218181818181818e-14,5e-11,75,1.8e-07,5.16992e-06
0.9999999999999999,3.218181818181818e-14,5e-11,75,3.6e-07,5.62425e-06
0.9999999999999999,3.218181818181818e-14,5e-11,100,1.8e-07,4.88542e-06
0.9999999999999999,3.218181818181818e-14,5e-11,100,3.6e-07,5.61192e-06
0.9999999999999999,3.218181818181818e-14,5e-11,125,1.8e-07,4.54257e-06
0.9999999999999999,3.218181818181818e-14,5e-11,125,3.6e-07,5.57313e-06
0.9999999999999999,3.218181818181818e-14,1e-10,-40,1.8e-07,5.4947e-06
0.9999999999999999,3.218181818181818e-14,1e-10,-40,3.6e-07,5.59635e-06
0.9999999999999999,3.218181818181818e-14,1e-10,-25,1.8e-07,5.49521e-06
0.9999999999999999,3.218181818181818e-14,1e-10,-25,3.6e-07,5.59948e-06
0.9999999999999999,3.218181818181818e-14,1e-10,0,1.8e-07,5.48692e-06
0.9999999999999999,3.218181818181818e-14,1e-10,0,3.6e-07,5.60621e-06
0.9999999999999999,3.218181818181818e-14,1e-10,25,1.8e-07,5.43674e-06
0.9999999999999999,3.218181818181818e-14,1e-10,25,3.6e-07,5.61252e-06
0.9999999999999999,3.218181818181818e-14,1e-10,75,1.8e-07,5.05727e-06
0.9999999999999999,3.218181818181818e-14,1e-10,75,3.6e-07,5.61354e-06
0.9999999999999999,3.218181818181818e-14,1e-10,100,1.8e-07,4.72665e-06
0.9999999999999999,3.218181818181818e-14,1e-10,100,3.6e-07,5.59067e-06
0.9999999999999999,3.218181818181818e-14,1e-10,125,1.8e-07,4.35121e-06
0.9999999999999999,3.218181818181818e-14,1e-10,125,3.6e-07,5.53371e-06
0.9999999999999999,3.218181818181818e-14,2e-10,-40,1.8e-07,5.50212e-06
0.9999999999999999,3.218181818181818e-14,2e-10,-40,3.6e-07,5.6094e-06
0.9999999999999999,3.218181818181818e-14,2e-10,-25,1.8e-07,5.49603e-06
0.9999999999999999,3.218181818181818e-14,2e-10,-25,3.6e-07,5.6072e-06
0.9999999999999999,3.218181818181818e-14,2e-10,0,1.8e-07,5.46012e-06
0.9999999999999999,3.218181818181818e-14,2e-10,0,3.6e-07,5.60909e-06
0.9999999999999999,3.218181818181818e-14,2e-10,25,1.8e-07,5.33848e-06
0.9999999999999999,3.218181818181818e-14,2e-10,25,3.6e-07,5.61206e-06
0.9999999999999999,3.218181818181818e-14,2e-10,75,1.8e-07,4.72315e-06
0.9999999999999999,3.218181818181818e-14,2e-10,75,3.6e-07,5.58671e-06
0.9999999999999999,3.218181818181818e-14,2e-10,100,1.8e-07,4.30022e-06
0.9999999999999999,3.218181818181818e-14,2e-10,100,3.6e-07,5.52497e-06
0.9999999999999999,3.218181818181818e-14,2e-10,125,1.8e-07,3.87543e-06
0.9999999999999999,3.218181818181818e-14,2e-10,125,3.6e-07,5.40889e-06
0.9999999999999999,3.218181818181818e-14,4e-10,-40,1.8e-07,5.49112e-06
0.9999999999999999,3.218181818181818e-14,4e-10,-40,3.6e-07,5.67344e-06
0.9999999999999999,3.218181818181818e-14,4e-10,-25,1.8e-07,5.38453e-06
0.9999999999999999,3.218181818181818e-14,4e-10,-25,3.6e-07,5.65396e-06
0.9999999999999999,3.218181818181818e-14,4e-10,0,1.8e-07,5.02487e-06
0.9999999999999999,3.218181818181818e-14,4e-10,0,3.6e-07,5.63188e-06
0.9999999999999999,3.218181818181818e-14,4e-10,25,1.8e-07,4.46396e-06
0.9999999999999999,3.218181818181818e-14,4e-10,25,3.6e-07,5.58551e-06
0.9999999999999999,3.218181818181818e-14,4e-10,75,1.8e-07,3.34047e-06
0.9999999999999999,3.218181818181818e-14,4e-10,75,3.6e-07,5.24702e-06
0.9999999999999999,3.218181818181818e-14,4e-10,100,1.8e-07,2.90778e-06
0.9999999999999999,3.218181818181818e-14,4e-10,100,3.6e-07,4.92799e-06
0.9999999999999999,3.218181818181818e-14,4e-10,125,1.8e-07,2.55421e-06
0.9999999999999999,3.218181818181818e-14,4e-10,125,3.6e-07,4.55083e-06
0.9999999999999999,3.6636363636363636e-14,1e-11,-40,1.8e-07,6.24549e-06
0.9999999999999999,3.6636363636363636e-14,1e-11,-40,3.6e-07,6.35948e-06
0.9999999999999999,3.6636363636363636e-14,1e-11,-25,1.8e-07,6.24701e-06
0.9999999999999999,3.6636363636363636e-14,1e-11,-25,3.6e-07,6.36436e-06
0.9999999999999999,3.6636363636363636e-14,1e-11,0,1.8e-07,6.23855e-06
0.9999999999999999,3.6636363636363636e-14,1e-11,0,3.6e-07,6.37202e-06
0.9999999999999999,3.6636363636363636e-14,1e-11,25,1.8e-07,6.1835e-06
0.9999999999999999,3.6636363636363636e-14,1e-11,25,3.6e-07,6.37902e-06
0.9999999999999999,3.6636363636363636e-14,1e-11,75,1.8e-07,5.76365e-06
0.9999999999999999,3.6636363636363636e-14,1e-11,75,3.6e-07,6.38029e-06
0.9999999999999999,3.6636363636363636e-14,1e-11,100,1.8e-07,5.39519e-06
0.9999999999999999,3.6636363636363636e-14,1e-11,100,3.6e-07,6.35506e-06
0.9999999999999999,3.6636363636363636e-14,1e-11,125,1.8e-07,4.97498e-06
0.9999999999999999,3.6636363636363636e-14,1e-11,125,3.6e-07,6.2931e-06
0.9999999999999999,3.6636363636363636e-14,5e-11,-40,1.8e-07,6.23773e-06
0.9999999999999999,3.6636363636363636e-14,5e-11,-40,3.6e-07,6.34219e-06
0.9999999999999999,3.6636363636363636e-14,5e-11,-25,1.8e-07,6.23816e-06
0.9999999999999999,3.6636363636363636e-14,5e-11,-25,3.6e-07,6.3466e-06
0.9999999999999999,3.6636363636363636e-14,5e-11,0,1.8e-07,6.22306e-06
0.9999999999999999,3.6636363636363636e-14,5e-11,0,3.6e-07,6.35371e-06
0.9999999999999999,3.6636363636363636e-14,5e-11,25,1.8e-07,6.14762e-06
0.9999999999999999,3.6636363636363636e-14,5e-11,25,3.6e-07,6.36014e-06
0.9999999999999999,3.6636363636363636e-14,5e-11,75,1.8e-07,5.64636e-06
0.9999999999999999,3.6636363636363636e-14,5e-11,75,3.6e-07,6.35454e-06
0.9999999999999999,3.6636363636363636e-14,5e-11,100,1.8e-07,5.24027e-06
